# im_width, im_height, im_size, im_kbytes, box_size, walltime, maxrss
356, 356, 126736, 990.125, 20,0.83,116805632
712, 712, 506944, 3960.5, 20,0.90,134103040
1424, 1424, 2027776, 15842, 20,1.21,188166144
2848, 2848, 8111104, 63368, 20,2.84,422096896
5696, 5696, 32444416, 253472, 20,12.55,1333460992
2848, 2848, 8111104, 63368, 10,4.83,430084096
2848, 2848, 8111104, 63368, 20,2.79,420503552
2848, 2848, 8111104, 63368, 30,2.30,421457920
2848, 2848, 8111104, 63368, 40,2.03,432562176
2848, 2848, 8111104, 63368, 50,1.94,430788608
2848, 2848, 8111104, 63368, 60,1.88,428224512
5696, 5696, 32444416, 253472, 10,24.80,1214398464
5696, 5696, 32444416, 253472, 20,12.43,1338548224
5696, 5696, 32444416, 253472, 30,9.18,1338388480
5696, 5696, 32444416, 253472, 40,8.24,1314557952
5696, 5696, 32444416, 253472, 50,7.56,1313595392
5696, 5696, 32444416, 253472, 60,7.14,1316745216
