# im_width, im_height, im_size, im_kbytes, box_size, walltime, maxrss
356, 356, 126736, 990.125, 20,1.67,218738688
712, 712, 506944, 3960.5, 20,2.43,268574720
1424, 1424, 2027776, 15842, 20,5.82,443416576
2848, 2848, 8111104, 63368, 20,20.93,1208946688
5696, 5696, 32444416, 253472, 20,103.24,3307053056
2848, 2848, 8111104, 63368, 10,44.58,1169096704
2848, 2848, 8111104, 63368, 20,20.52,1211813888
2848, 2848, 8111104, 63368, 30,15.75,1134088192
2848, 2848, 8111104, 63368, 40,15.84,1272205312
2848, 2848, 8111104, 63368, 50,25.42,1265176576
2848, 2848, 8111104, 63368, 60,21.43,1331646464
5696, 5696, 32444416, 253472, 10,263.53,3297062912
5696, 5696, 32444416, 253472, 20,101.95,3651342336
5696, 5696, 32444416, 253472, 30,77.88,3565158400
5696, 5696, 32444416, 253472, 40,79.42,3601911808
5696, 5696, 32444416, 253472, 50,68.29,3562319872
5696, 5696, 32444416, 253472, 60,68.34,3534843904
