# im_width, im_height, im_size, im_kbytes, box_size, walltime, maxrss
356, 356, 126736, 990.125, 20,1.34,182657024
712, 712, 506944, 3960.5, 20,2.04,222846976
1424, 1424, 2027776, 15842, 20,5.54,403759104
2848, 2848, 8111104, 63368, 20,20.87,1166827520
5696, 5696, 32444416, 253472, 20,107.11,3501867008
2848, 2848, 8111104, 63368, 10,42.92,1155403776
2848, 2848, 8111104, 63368, 20,20.47,1166401536
2848, 2848, 8111104, 63368, 30,15.40,1160859648
2848, 2848, 8111104, 63368, 40,14.65,1268748288
2848, 2848, 8111104, 63368, 50,13.22,1270837248
2848, 2848, 8111104, 63368, 60,13.11,1286311936
5696, 5696, 32444416, 253472, 10,224.38,3912962048
5696, 5696, 32444416, 253472, 20,101.20,3661938688
5696, 5696, 32444416, 253472, 30,77.51,3586490368
5696, 5696, 32444416, 253472, 40,77.75,3664343040
5696, 5696, 32444416, 253472, 50,68.25,3814969344
5696, 5696, 32444416, 253472, 60,66.80,3924881408
