# im_width, im_height, im_size, im_kbytes, box_size, walltime, maxrss
356, 356, 126736, 990.125, 20,1.23,191143936
712, 712, 506944, 3960.5, 20,2.04,227336192
1424, 1424, 2027776, 15842, 20,5.24,412876800
2848, 2848, 8111104, 63368, 20,20.14,1167601664
5696, 5696, 32444416, 253472, 20,103.04,3384860672
2848, 2848, 8111104, 63368, 10,42.93,1148334080
2848, 2848, 8111104, 63368, 20,20.54,1161580544
2848, 2848, 8111104, 63368, 30,15.22,1153654784
2848, 2848, 8111104, 63368, 40,14.68,1267712000
2848, 2848, 8111104, 63368, 50,13.25,1262329856
2848, 2848, 8111104, 63368, 60,13.20,1268998144
5696, 5696, 32444416, 253472, 10,230.58,3749822464
5696, 5696, 32444416, 253472, 20,105.93,3362201600
5696, 5696, 32444416, 253472, 30,78.18,3584794624
5696, 5696, 32444416, 253472, 40,77.72,3657359360
5696, 5696, 32444416, 253472, 50,68.04,3842871296
5696, 5696, 32444416, 253472, 60,67.58,3938942976
