# im_width, im_height, im_size, im_kbytes, box_size, walltime, maxrss
L [1] 712, 712, 506944, 3960.5, 20,0.84,116621312
L [1] 1424, 1424, 2027776, 15842, 20,0.85,140963840
L [1] 2848, 2848, 8111104, 63368, 20,0.97,238395392
L [1] 5696, 5696, 32444416, 253472, 20,1.42,628310016
L [1] 11392, 11392, 129777664, 1013888, 20,3.78,1925558272
L [1] 5696, 5696, 32444416, 253472, 10,1.41,627707904
L [1] 5696, 5696, 32444416, 253472, 20,1.41,627908608
L [1] 5696, 5696, 32444416, 253472, 30,1.41,627777536
L [1] 5696, 5696, 32444416, 253472, 40,1.43,627679232
L [1] 5696, 5696, 32444416, 253472, 50,1.41,627900416
L [1] 5696, 5696, 32444416, 253472, 60,1.40,628383744
L [1] 11392, 11392, 129777664, 1013888, 10,3.76,1925373952
L [1] 11392, 11392, 129777664, 1013888, 20,3.77,1925423104
L [1] 11392, 11392, 129777664, 1013888, 30,3.75,1925656576
L [1] 11392, 11392, 129777664, 1013888, 40,3.76,1925234688
L [1] 11392, 11392, 129777664, 1013888, 50,3.83,1925271552
L [1] 11392, 11392, 129777664, 1013888, 60,3.81,1925206016
