# im_width, im_height, im_size, im_kbytes, box_size, walltime, maxrss
L [1] 356, 356, 126736, 990.125, 20,0.78,111411200
L [1] 712, 712, 506944, 3960.5, 20,0.79,116326400
L [1] 1424, 1424, 2027776, 15842, 20,0.80,140972032
L [1] 2848, 2848, 8111104, 63368, 20,0.94,237465600
L [1] 5696, 5696, 32444416, 253472, 20,1.40,627691520
L [1] 2848, 2848, 8111104, 63368, 10,0.95,238276608
L [1] 2848, 2848, 8111104, 63368, 20,0.95,237891584
L [1] 2848, 2848, 8111104, 63368, 30,0.93,237723648
L [1] 2848, 2848, 8111104, 63368, 40,0.93,237580288
L [1] 2848, 2848, 8111104, 63368, 50,0.93,237588480
L [1] 2848, 2848, 8111104, 63368, 60,0.93,237928448
L [1] 5696, 5696, 32444416, 253472, 10,1.39,627167232
L [1] 5696, 5696, 32444416, 253472, 20,1.39,627658752
L [1] 5696, 5696, 32444416, 253472, 30,1.42,627097600
L [1] 5696, 5696, 32444416, 253472, 40,1.45,627093504
L [1] 5696, 5696, 32444416, 253472, 50,1.40,627658752
L [1] 5696, 5696, 32444416, 253472, 60,1.40,626966528
