# im_width, im_height, im_size, im_kbytes, box_size, walltime, maxrss
356, 356, 126736, 990.125, 20,1.90,199184384
712, 712, 506944, 3960.5, 20,2.32,244228096
1424, 1424, 2027776, 15842, 20,5.29,452026368
2848, 2848, 8111104, 63368, 20,18.09,1361973248
5696, 5696, 32444416, 253472, 20,91.88,4231766016
2848, 2848, 8111104, 63368, 10,26.05,1221488640
2848, 2848, 8111104, 63368, 20,17.98,1360691200
2848, 2848, 8111104, 63368, 30,16.20,1360584704
2848, 2848, 8111104, 63368, 40,14.88,1362403328
2848, 2848, 8111104, 63368, 50,14.64,1358811136
2848, 2848, 8111104, 63368, 60,15.31,1316253696
5696, 5696, 32444416, 253472, 10,154.47,3947253760
5696, 5696, 32444416, 253472, 20,92.16,4227391488
5696, 5696, 32444416, 253472, 30,83.15,4397989888
5696, 5696, 32444416, 253472, 40,91.86,4413087744
5696, 5696, 32444416, 253472, 50,77.58,4001497088
5696, 5696, 32444416, 253472, 60,80.00,4401250304
