# im_width, im_height, im_size, im_kbytes, box_size, walltime, maxrss
356, 356, 126736, 990.125, 20,0.81,115544064
712, 712, 506944, 3960.5, 20,0.86,134004736
1424, 1424, 2027776, 15842, 20,1.18,188981248
2848, 2848, 8111104, 63368, 20,2.89,419946496
5696, 5696, 32444416, 253472, 20,12.41,1338576896
2848, 2848, 8111104, 63368, 10,4.87,436391936
2848, 2848, 8111104, 63368, 20,2.82,419971072
2848, 2848, 8111104, 63368, 30,2.30,429510656
2848, 2848, 8111104, 63368, 40,2.08,425910272
2848, 2848, 8111104, 63368, 50,1.96,427970560
2848, 2848, 8111104, 63368, 60,1.91,430174208
5696, 5696, 32444416, 253472, 10,24.88,1218646016
5696, 5696, 32444416, 253472, 20,12.49,1338376192
5696, 5696, 32444416, 253472, 30,9.15,1332998144
5696, 5696, 32444416, 253472, 40,7.88,1314639872
5696, 5696, 32444416, 253472, 50,6.93,1313431552
5696, 5696, 32444416, 253472, 60,6.25,1316769792
