# im_width, im_height, im_size, im_kbytes, box_size, walltime, maxrss
712, 712, 506944, 3960.5, 20,0.84,116854784
1424, 1424, 2027776, 15842, 20,0.87,141164544
2848, 2848, 8111104, 63368, 20,1.00,238747648
5696, 5696, 32444416, 253472, 20,1.54,627961856
11392, 11392, 129777664, 1013888, 20,4.42,1925599232
5696, 5696, 32444416, 253472, 10,1.57,627593216
5696, 5696, 32444416, 253472, 20,1.55,627384320
5696, 5696, 32444416, 253472, 30,1.54,627920896
5696, 5696, 32444416, 253472, 40,1.53,627945472
5696, 5696, 32444416, 253472, 50,1.54,627642368
5696, 5696, 32444416, 253472, 60,1.57,628748288
11392, 11392, 129777664, 1013888, 10,4.42,1925144576
11392, 11392, 129777664, 1013888, 20,4.42,1925672960
11392, 11392, 129777664, 1013888, 30,4.42,1925922816
11392, 11392, 129777664, 1013888, 40,4.40,1925328896
11392, 11392, 129777664, 1013888, 50,4.36,1925701632
11392, 11392, 129777664, 1013888, 60,4.35,1926205440
