# im_width, im_height, im_size, im_kbytes, box_size, walltime, maxrss
356, 356, 126736, 990.125, 20,0.85,111312896
712, 712, 506944, 3960.5, 20,0.89,116486144
1424, 1424, 2027776, 15842, 20,0.95,140935168
2848, 2848, 8111104, 63368, 20,1.02,238264320
5696, 5696, 32444416, 253472, 20,1.56,630792192
2848, 2848, 8111104, 63368, 10,1.04,238231552
2848, 2848, 8111104, 63368, 20,1.02,238559232
2848, 2848, 8111104, 63368, 30,1.05,238370816
2848, 2848, 8111104, 63368, 40,1.02,238731264
2848, 2848, 8111104, 63368, 50,1.03,238317568
2848, 2848, 8111104, 63368, 60,1.03,239050752
5696, 5696, 32444416, 253472, 10,1.57,628383744
5696, 5696, 32444416, 253472, 20,1.57,629981184
5696, 5696, 32444416, 253472, 30,1.59,629334016
5696, 5696, 32444416, 253472, 40,1.58,631271424
5696, 5696, 32444416, 253472, 50,1.57,633958400
5696, 5696, 32444416, 253472, 60,1.58,630476800
