# im_width, im_height, im_size, im_kbytes, box_size, walltime, maxrss
356, 356, 126736, 990.125, 20,1.71,199122944
712, 712, 506944, 3960.5, 20,2.19,235900928
1424, 1424, 2027776, 15842, 20,4.85,453967872
2848, 2848, 8111104, 63368, 20,16.05,1246203904
5696, 5696, 32444416, 253472, 20,82.87,3763154944
2848, 2848, 8111104, 63368, 10,24.61,1102798848
2848, 2848, 8111104, 63368, 20,15.55,1256423424
2848, 2848, 8111104, 63368, 30,13.84,1240338432
2848, 2848, 8111104, 63368, 40,13.05,1225236480
2848, 2848, 8111104, 63368, 50,12.80,1200812032
2848, 2848, 8111104, 63368, 60,13.51,1172119552
5696, 5696, 32444416, 253472, 10,153.13,3916668928
5696, 5696, 32444416, 253472, 20,85.03,3519414272
5696, 5696, 32444416, 253472, 30,71.88,3920183296
5696, 5696, 32444416, 253472, 40,82.24,3765989376
5696, 5696, 32444416, 253472, 50,69.24,4213936128
5696, 5696, 32444416, 253472, 60,69.13,4207255552
