# im_width, im_height, im_size, im_kbytes, box_size, walltime, maxrss
356, 356, 126736, 990.125, 20,1.81,194207744
712, 712, 506944, 3960.5, 20,2.82,246312960
1424, 1424, 2027776, 15842, 20,6.53,454438912
2848, 2848, 8111104, 63368, 20,20.52,1210097664
5696, 5696, 32444416, 253472, 20,100.81,3699429376
2848, 2848, 8111104, 63368, 10,28.29,1115361280
2848, 2848, 8111104, 63368, 20,20.19,1207275520
2848, 2848, 8111104, 63368, 30,17.76,1231474688
2848, 2848, 8111104, 63368, 40,17.10,1211043840
2848, 2848, 8111104, 63368, 50,16.74,1180893184
2848, 2848, 8111104, 63368, 60,17.46,1179844608
5696, 5696, 32444416, 253472, 10,160.63,3948957696
5696, 5696, 32444416, 253472, 20,98.75,3979907072
5696, 5696, 32444416, 253472, 30,88.17,4154298368
5696, 5696, 32444416, 253472, 40,96.38,4225118208
5696, 5696, 32444416, 253472, 50,84.70,4231094272
5696, 5696, 32444416, 253472, 60,84.57,4226584576
