# im_width, im_height, im_size, im_kbytes, box_size, walltime, maxrss
356, 356, 126736, 990.125, 20,1.94,194494464
712, 712, 506944, 3960.5, 20,3.33,250486784
1424, 1424, 2027776, 15842, 20,7.64,459268096
2848, 2848, 8111104, 63368, 20,23.08,1210142720
5696, 5696, 32444416, 253472, 20,99.75,3973115904
2848, 2848, 8111104, 63368, 10,28.09,1150226432
2848, 2848, 8111104, 63368, 20,19.53,1201532928
2848, 2848, 8111104, 63368, 30,17.61,1238478848
2848, 2848, 8111104, 63368, 40,16.86,1205227520
2848, 2848, 8111104, 63368, 50,19.42,1206513664
2848, 2848, 8111104, 63368, 60,17.44,1185947648
5696, 5696, 32444416, 253472, 10,169.95,3951738880
5696, 5696, 32444416, 253472, 20,100.87,3978645504
5696, 5696, 32444416, 253472, 30,89.28,4019068928
5696, 5696, 32444416, 253472, 40,95.02,4226281472
5696, 5696, 32444416, 253472, 50,83.55,4216074240
5696, 5696, 32444416, 253472, 60,83.38,4223672320
