# im_width, im_height, im_size, im_kbytes, box_size, walltime, maxrss
356, 356, 126736, 990.125, 20,1.04,112832512
712, 712, 506944, 3960.5, 20,1.03,125497344
1424, 1424, 2027776, 15842, 20,1.35,176340992
2848, 2848, 8111104, 63368, 20,2.97,420818944
5696, 5696, 32444416, 253472, 20,12.88,1329995776
2848, 2848, 8111104, 63368, 10,4.88,420237312
2848, 2848, 8111104, 63368, 20,2.88,417189888
2848, 2848, 8111104, 63368, 30,2.35,424349696
2848, 2848, 8111104, 63368, 40,2.11,431579136
2848, 2848, 8111104, 63368, 50,2.04,425381888
2848, 2848, 8111104, 63368, 60,1.93,430080000
5696, 5696, 32444416, 253472, 10,25.32,1232470016
5696, 5696, 32444416, 253472, 20,12.54,1327071232
5696, 5696, 32444416, 253472, 30,9.15,1322418176
5696, 5696, 32444416, 253472, 40,7.79,1313259520
5696, 5696, 32444416, 253472, 50,7.00,1312030720
5696, 5696, 32444416, 253472, 60,6.38,1314930688
