# im_width, im_height, im_size, im_kbytes, box_size, walltime, maxrss
356, 356, 126736, 990.125, 20,1.42,187904000
712, 712, 506944, 3960.5, 20,2.11,254832640
1424, 1424, 2027776, 15842, 20,4.97,483446784
2848, 2848, 8111104, 63368, 20,18.49,1309413376
5696, 5696, 32444416, 253472, 20,92.55,3919515648
2848, 2848, 8111104, 63368, 10,25.96,1237786624
2848, 2848, 8111104, 63368, 20,17.78,1308295168
2848, 2848, 8111104, 63368, 30,15.76,1349160960
2848, 2848, 8111104, 63368, 40,14.82,1278578688
2848, 2848, 8111104, 63368, 50,14.65,1346109440
2848, 2848, 8111104, 63368, 60,15.82,1331589120
5696, 5696, 32444416, 253472, 10,158.97,3919056896
5696, 5696, 32444416, 253472, 20,97.00,4063285248
5696, 5696, 32444416, 253472, 30,86.17,4161036288
5696, 5696, 32444416, 253472, 40,92.82,4206878720
5696, 5696, 32444416, 253472, 50,77.26,4015091712
5696, 5696, 32444416, 253472, 60,79.33,4037926912
