# im_width, im_height, im_size, im_kbytes, box_size, walltime, maxrss
356, 356, 126736, 990.125, 20,2.50,186564608
712, 712, 506944, 3960.5, 20,3.21,254824448
1424, 1424, 2027776, 15842, 20,6.91,485294080
2848, 2848, 8111104, 63368, 20,21.24,1302884352
5696, 5696, 32444416, 253472, 20,101.94,4070404096
2848, 2848, 8111104, 63368, 10,29.45,1241026560
2848, 2848, 8111104, 63368, 20,20.20,1302708224
2848, 2848, 8111104, 63368, 30,18.23,1344106496
2848, 2848, 8111104, 63368, 40,16.43,1279598592
2848, 2848, 8111104, 63368, 50,14.57,1340399616
2848, 2848, 8111104, 63368, 60,15.61,1340391424
5696, 5696, 32444416, 253472, 10,156.15,4287102976
5696, 5696, 32444416, 253472, 20,94.23,4417028096
5696, 5696, 32444416, 253472, 30,84.22,4324212736
5696, 5696, 32444416, 253472, 40,89.49,4512284672
5696, 5696, 32444416, 253472, 50,78.01,4372561920
5696, 5696, 32444416, 253472, 60,77.85,4236652544
