# im_width, im_height, im_size, im_kbytes, box_size, walltime, maxrss
356, 356, 126736, 990.125, 20,0.75,90107904
712, 712, 506944, 3960.5, 20,0.67,109916160
1424, 1424, 2027776, 15842, 20,1.08,183721984
2848, 2848, 8111104, 63368, 20,2.87,454959104
5696, 5696, 32444416, 253472, 20,14.04,1347403776
2848, 2848, 8111104, 63368, 10,4.97,449572864
2848, 2848, 8111104, 63368, 20,2.73,462745600
2848, 2848, 8111104, 63368, 30,2.17,455868416
2848, 2848, 8111104, 63368, 40,1.97,458690560
2848, 2848, 8111104, 63368, 50,1.95,450445312
2848, 2848, 8111104, 63368, 60,1.84,451252224
5696, 5696, 32444416, 253472, 10,26.86,1210986496
5696, 5696, 32444416, 253472, 20,13.28,1331990528
5696, 5696, 32444416, 253472, 30,9.53,1348440064
5696, 5696, 32444416, 253472, 40,7.72,1327611904
5696, 5696, 32444416, 253472, 50,6.71,1322696704
5696, 5696, 32444416, 253472, 60,6.07,1323933696
