# im_width, im_height, im_size, im_kbytes, box_size, walltime, maxrss
712, 712, 506944, 3960.5, 20,0.84,118669312
1424, 1424, 2027776, 15842, 20,0.86,149479424
2848, 2848, 8111104, 63368, 20,1.01,271003648
5696, 5696, 32444416, 253472, 20,1.56,757370880
11392, 11392, 129777664, 1013888, 20,4.37,2444697600
5696, 5696, 32444416, 253472, 10,1.54,757903360
5696, 5696, 32444416, 253472, 20,1.54,757862400
5696, 5696, 32444416, 253472, 30,1.54,757481472
5696, 5696, 32444416, 253472, 40,1.55,758054912
5696, 5696, 32444416, 253472, 50,1.54,757530624
5696, 5696, 32444416, 253472, 60,1.54,758165504
11392, 11392, 129777664, 1013888, 10,4.41,2444406784
11392, 11392, 129777664, 1013888, 20,4.55,2445066240
11392, 11392, 129777664, 1013888, 30,4.40,2444664832
11392, 11392, 129777664, 1013888, 40,4.44,2444685312
11392, 11392, 129777664, 1013888, 50,4.47,2444640256
11392, 11392, 129777664, 1013888, 60,4.59,2444787712
