# im_width, im_height, im_size, im_kbytes, box_size, walltime, maxrss
712, 712, 506944, 3960.5, 20,0.84,116776960
1424, 1424, 2027776, 15842, 20,0.87,141533184
2848, 2848, 8111104, 63368, 20,1.00,239136768
5696, 5696, 32444416, 253472, 20,1.48,627789824
11392, 11392, 129777664, 1013888, 20,3.61,1926074368
5696, 5696, 32444416, 253472, 10,1.49,629526528
5696, 5696, 32444416, 253472, 20,1.47,628355072
5696, 5696, 32444416, 253472, 30,2.47,627867648
5696, 5696, 32444416, 253472, 40,1.54,627732480
5696, 5696, 32444416, 253472, 50,1.49,627695616
5696, 5696, 32444416, 253472, 60,1.42,627576832
11392, 11392, 129777664, 1013888, 10,3.97,1925795840
11392, 11392, 129777664, 1013888, 20,4.03,1925619712
11392, 11392, 129777664, 1013888, 30,4.00,1925758976
11392, 11392, 129777664, 1013888, 40,4.04,1925324800
11392, 11392, 129777664, 1013888, 50,3.95,1925328896
11392, 11392, 129777664, 1013888, 60,3.95,1925853184
