# im_width, im_height, im_size, im_kbytes, box_size, walltime, maxrss
712, 712, 506944, 3960.5, 20,0.85,116764672
1424, 1424, 2027776, 15842, 20,0.86,141213696
2848, 2848, 8111104, 63368, 20,0.99,238452736
5696, 5696, 32444416, 253472, 20,1.44,628187136
11392, 11392, 129777664, 1013888, 20,4.00,1925439488
5696, 5696, 32444416, 253472, 10,1.44,627773440
5696, 5696, 32444416, 253472, 20,1.43,627974144
5696, 5696, 32444416, 253472, 30,1.43,627961856
5696, 5696, 32444416, 253472, 40,1.45,627728384
5696, 5696, 32444416, 253472, 50,1.42,627781632
5696, 5696, 32444416, 253472, 60,1.43,628146176
11392, 11392, 129777664, 1013888, 10,4.00,1925693440
11392, 11392, 129777664, 1013888, 20,4.03,1925931008
11392, 11392, 129777664, 1013888, 30,4.01,1925537792
11392, 11392, 129777664, 1013888, 40,4.00,1925853184
11392, 11392, 129777664, 1013888, 50,3.99,1925607424
11392, 11392, 129777664, 1013888, 60,4.23,1925488640
