# im_width, im_height, im_size, im_kbytes, box_size, walltime, maxrss
356, 356, 126736, 990.125, 20,1.54,189317120
712, 712, 506944, 3960.5, 20,2.08,244396032
1424, 1424, 2027776, 15842, 20,4.67,429342720
2848, 2848, 8111104, 63368, 20,16.79,1087365120
5696, 5696, 32444416, 253472, 20,88.18,3960803328
2848, 2848, 8111104, 63368, 10,25.11,1193238528
2848, 2848, 8111104, 63368, 20,16.87,1089277952
2848, 2848, 8111104, 63368, 30,17.12,1169399808
2848, 2848, 8111104, 63368, 40,15.99,1233031168
2848, 2848, 8111104, 63368, 50,13.93,1166495744
2848, 2848, 8111104, 63368, 60,15.31,1231990784
5696, 5696, 32444416, 253472, 10,153.60,3434811392
5696, 5696, 32444416, 253472, 20,89.55,3679092736
5696, 5696, 32444416, 253472, 30,79.63,4083585024
5696, 5696, 32444416, 253472, 40,90.36,3999481856
5696, 5696, 32444416, 253472, 50,75.45,3939385344
5696, 5696, 32444416, 253472, 60,77.19,3902046208
