# im_width, im_height, im_size, im_kbytes, box_size, walltime, maxrss
356, 356, 126736, 990.125, 20,1.90,196771840
712, 712, 506944, 3960.5, 20,3.61,314863616
1424, 1424, 2027776, 15842, 20,10.28,597770240
2848, 2848, 8111104, 63368, 20,35.11,1497296896
5696, 5696, 32444416, 253472, 20,162.80,4088389632
2848, 2848, 8111104, 63368, 10,97.38,1358217216
2848, 2848, 8111104, 63368, 20,34.77,1497288704
2848, 2848, 8111104, 63368, 30,23.60,1481060352
2848, 2848, 8111104, 63368, 40,19.46,1478946816
2848, 2848, 8111104, 63368, 50,18.37,1707896832
2848, 2848, 8111104, 63368, 60,17.46,1775136768
5696, 5696, 32444416, 253472, 10,449.61,4151447552
5696, 5696, 32444416, 253472, 20,162.82,4112580608
5696, 5696, 32444416, 253472, 30,113.91,4377051136
5696, 5696, 32444416, 253472, 40,102.68,4571512832
5696, 5696, 32444416, 253472, 50,97.40,4599328768
5696, 5696, 32444416, 253472, 60,88.94,4583854080
