# im_width, im_height, im_size, im_kbytes, box_size, walltime, maxrss
356, 356, 126736, 990.125, 20,1.40,190234624
712, 712, 506944, 3960.5, 20,2.40,244834304
1424, 1424, 2027776, 15842, 20,4.88,417320960
2848, 2848, 8111104, 63368, 20,16.99,1158144000
5696, 5696, 32444416, 253472, 20,91.08,3800317952
2848, 2848, 8111104, 63368, 10,25.15,1229041664
2848, 2848, 8111104, 63368, 20,16.90,1165258752
2848, 2848, 8111104, 63368, 30,14.92,1165475840
2848, 2848, 8111104, 63368, 40,13.90,1196822528
2848, 2848, 8111104, 63368, 50,13.69,1159499776
2848, 2848, 8111104, 63368, 60,14.51,1227468800
5696, 5696, 32444416, 253472, 10,151.62,3616604160
5696, 5696, 32444416, 253472, 20,87.54,3969257472
5696, 5696, 32444416, 253472, 30,76.03,4041867264
5696, 5696, 32444416, 253472, 40,87.24,3990450176
5696, 5696, 32444416, 253472, 50,72.98,3943915520
5696, 5696, 32444416, 253472, 60,75.25,3978104832
