# im_width, im_height, im_size, im_kbytes, box_size, walltime, maxrss
356, 356, 126736, 990.125, 20,0.86,131452928
712, 712, 506944, 3960.5, 20,1.17,142970880
1424, 1424, 2027776, 15842, 20,2.49,191217664
2848, 2848, 8111104, 63368, 20,8.28,387141632
5696, 5696, 32444416, 253472, 20,35.47,1175031808
2848, 2848, 8111104, 63368, 10,27.06,394485760
2848, 2848, 8111104, 63368, 20,8.31,386756608
2848, 2848, 8111104, 63368, 30,4.82,387186688
2848, 2848, 8111104, 63368, 40,3.46,387973120
2848, 2848, 8111104, 63368, 50,2.74,396668928
2848, 2848, 8111104, 63368, 60,3.40,395288576
5696, 5696, 32444416, 253472, 10,114.39,1229504512
5696, 5696, 32444416, 253472, 20,34.59,1175515136
5696, 5696, 32444416, 253472, 30,18.71,1171517440
5696, 5696, 32444416, 253472, 40,12.97,1170153472
5696, 5696, 32444416, 253472, 50,10.31,1177886720
5696, 5696, 32444416, 253472, 60,8.66,1180069888
