# im_width, im_height, im_size, im_kbytes, box_size, walltime, maxrss
356, 356, 126736, 990.125, 20,1.95,202477568
712, 712, 506944, 3960.5, 20,3.47,315883520
1424, 1424, 2027776, 15842, 20,9.93,586895360
2848, 2848, 8111104, 63368, 20,35.04,1496571904
5696, 5696, 32444416, 253472, 20,157.63,4217163776
2848, 2848, 8111104, 63368, 10,99.69,1369325568
2848, 2848, 8111104, 63368, 20,35.42,1498165248
2848, 2848, 8111104, 63368, 30,23.55,1480617984
2848, 2848, 8111104, 63368, 40,19.56,1489125376
2848, 2848, 8111104, 63368, 50,18.01,1708924928
2848, 2848, 8111104, 63368, 60,17.35,1775874048
5696, 5696, 32444416, 253472, 10,444.94,4231786496
5696, 5696, 32444416, 253472, 20,154.58,4608602112
5696, 5696, 32444416, 253472, 30,110.51,4548526080
5696, 5696, 32444416, 253472, 40,96.72,4927418368
5696, 5696, 32444416, 253472, 50,92.39,4732735488
5696, 5696, 32444416, 253472, 60,83.84,4675768320
