# im_width, im_height, im_size, im_kbytes, box_size, walltime, maxrss
356, 356, 126736, 990.125, 20,0.82,153337856
712, 712, 506944, 3960.5, 20,1.24,184770560
1424, 1424, 2027776, 15842, 20,2.90,316370944
2848, 2848, 8111104, 63368, 20,9.10,788697088
5696, 5696, 32444416, 253472, 20,34.79,1981931520
2848, 2848, 8111104, 63368, 10,29.97,721448960
2848, 2848, 8111104, 63368, 20,9.69,799723520
2848, 2848, 8111104, 63368, 30,5.88,817340416
2848, 2848, 8111104, 63368, 40,4.34,817074176
2848, 2848, 8111104, 63368, 50,3.67,817098752
2848, 2848, 8111104, 63368, 60,3.42,825430016
5696, 5696, 32444416, 253472, 10,117.42,1994797056
5696, 5696, 32444416, 253472, 20,36.04,1980571648
5696, 5696, 32444416, 253472, 30,20.21,1989697536
5696, 5696, 32444416, 253472, 40,15.15,2257154048
5696, 5696, 32444416, 253472, 50,14.19,2295140352
5696, 5696, 32444416, 253472, 60,11.91,2337087488
