# im_width, im_height, im_size, im_kbytes, box_size, walltime, maxrss
356, 356, 126736, 990.125, 20,0.58,91410432
712, 712, 506944, 3960.5, 20,0.60,109973504
1424, 1424, 2027776, 15842, 20,0.93,175751168
2848, 2848, 8111104, 63368, 20,2.64,408821760
5696, 5696, 32444416, 253472, 20,12.93,1353535488
2848, 2848, 8111104, 63368, 10,4.65,413212672
2848, 2848, 8111104, 63368, 20,2.59,402493440
2848, 2848, 8111104, 63368, 30,2.06,401104896
2848, 2848, 8111104, 63368, 40,1.87,397045760
2848, 2848, 8111104, 63368, 50,1.70,400293888
2848, 2848, 8111104, 63368, 60,1.62,400953344
5696, 5696, 32444416, 253472, 10,25.39,1203417088
5696, 5696, 32444416, 253472, 20,12.68,1347567616
5696, 5696, 32444416, 253472, 30,9.21,1381916672
5696, 5696, 32444416, 253472, 40,7.51,1367982080
5696, 5696, 32444416, 253472, 50,6.97,1360527360
5696, 5696, 32444416, 253472, 60,6.00,1361866752
