# im_width, im_height, im_size, im_kbytes, box_size, walltime, maxrss
356, 356, 126736, 990.125, 20,0.92,161353728
712, 712, 506944, 3960.5, 20,1.29,212688896
1424, 1424, 2027776, 15842, 20,3.08,314077184
2848, 2848, 8111104, 63368, 20,10.03,843554816
5696, 5696, 32444416, 253472, 20,37.56,2130042880
2848, 2848, 8111104, 63368, 10,31.46,756723712
2848, 2848, 8111104, 63368, 20,10.10,844685312
2848, 2848, 8111104, 63368, 30,5.96,866181120
2848, 2848, 8111104, 63368, 40,4.68,875311104
2848, 2848, 8111104, 63368, 50,4.00,858509312
2848, 2848, 8111104, 63368, 60,3.59,859009024
5696, 5696, 32444416, 253472, 10,123.80,2133557248
5696, 5696, 32444416, 253472, 20,37.56,2113638400
5696, 5696, 32444416, 253472, 30,21.76,2138009600
5696, 5696, 32444416, 253472, 40,16.54,2271047680
5696, 5696, 32444416, 253472, 50,14.20,2305150976
5696, 5696, 32444416, 253472, 60,12.73,2347081728
